Species,Country,Year,Area,X - Longitude,Y - Latidue,Depth (m),Substrate,Individual,Observation method,Source
Pterois miles,Lebanon,2016,Beirut,35.370299,33.854274,0, ,4,Nets/Spear-fishing,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Ionian Sea,21.961816,36.797665,7,Rocky,2, ,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Karpathos Island,27.195089,35.469379,0, ,2,Underwater photography with Scuba Dive,Dimitriadis et al. 2020
Pterois miles,Israel,2016,Israel,35.053163,33.029308,0, ,2, ,Dimitriadis et al. 2020
Pterois miles,Italy,2016,Vendicari-Sicily,15.108053,36.819544,3.5,"sand,rocks,on C.taxifolia",1,scuba diving,Dimitriadis et al. 2020
Pterois miles,Greece,2016,South Aegean Sea,25.129151,36.975267,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2016,"Kriti: Agios Panteleimonas, between Makrys Gialos and Koutsouras",25.946667,35.015833,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Kriti: 2.5 nm off the coast of Kouremenos bay,26.301944,35.202222,33,rocky bottom,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2016,"Karpathos isl., Kastellia",27.194489,35.472554,9, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2016,"Karpathos isl., Achata",27.205599,35.558324,17, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2016,South Aegean Sea,27.224341,35.511394,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Karpathos: Agios Petros,27.22555,35.509998,16, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Rodos: Plimmiri,27.8566,35.9194,10,rocky bottom,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2016,"Symi isl., Pedi",27.857487,36.61593,5, ,1,underwater observation,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Rodos: Pefkoi,28.050106,36.061653,4, ,1,Spearfisherman,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Rodos: Lindos,28.086814,36.094828,0, ,1,gill nets,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Rodos: Lindos,28.086814,36.094828,0, ,1,gill nets,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Rodos: Lindos,28.091399,36.09725,15, ,1,Recreational fisher,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Rodos isl.,28.107226,36.094735,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Rodos: Faliraki,28.209477,36.333107,10,rocky bottom,1,gill nets,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Rodos: Karakonero,28.233444,36.425659,0, ,1,fishing rod,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Rodos: Akandia,28.23722222,36.44388889,0, ,1,gill nets,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,South Aegean Sea,28.549206,36.801764,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,"Dalyan, Mu?la",28.595139,36.796365,0, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,"Fethiye, Mu?la",29.091667,36.644444,0, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,"Kalkan, Antalya",29.41,36.25,8, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Greece,2016,Kastellorizo isl.,29.590371,36.149603,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,"Ka?, Antalya",29.64,36.19,30, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,"Ka?, Antalya",29.64,36.19,17, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,"Ka?, Antalya",29.64,36.19,16, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,South Aegean Sea,29.772205,36.13167,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,"Adrasan, Antalya",30.47,36.21,0, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2016,South Aegean Sea,30.54633,36.456056,0, ,1,Underwater observation,Dimitriadis et al. 2020
